scenario_id,duration,shape,spread,weights,activation,delay,memory,rep
369,2,triangle,24,random,subset,unit,0.0,1
370,2,triangle,24,random,subset,unit,0.0,2
371,2,triangle,24,random,subset,unit,0.0,3
372,2,triangle,24,random,subset,unit,2.0,0
373,2,triangle,24,random,subset,unit,2.0,1
374,2,triangle,24,random,subset,unit,2.0,2
375,2,triangle,24,random,subset,unit,2.0,3
376,2,triangle,24,random,subset,heterogeneous,0.0,0
377,2,triangle,24,random,subset,heterogeneous,0.0,1
378,2,triangle,24,random,subset,heterogeneous,0.0,2
379,2,triangle,24,random,subset,heterogeneous,0.0,3
380,2,triangle,24,random,subset,heterogeneous,2.0,0
381,2,triangle,24,random,subset,heterogeneous,2.0,1
382,2,triangle,24,random,subset,heterogeneous,2.0,2
383,2,triangle,24,random,subset,heterogeneous,2.0,3
384,8,block,0,equal,all,unit,0.0,0
385,8,block,0,equal,all,unit,0.0,1
386,8,block,0,equal,all,unit,0.0,2
387,8,block,0,equal,all,unit,0.0,3
388,8,block,0,equal,all,unit,2.0,0
389,8,block,0,equal,all,unit,2.0,1
390,8,block,0,equal,all,unit,2.0,2
391,8,block,0,equal,all,unit,2.0,3
392,8,block,0,equal,all,heterogeneous,0.0,0
393,8,block,0,equal,all,heterogeneous,0.0,1
394,8,block,0,equal,all,heterogeneous,0.0,2
395,8,block,0,equal,all,heterogeneous,0.0,3
396,8,block,0,equal,all,heterogeneous,2.0,0
397,8,block,0,equal,all,heterogeneous,2.0,1
398,8,block,0,equal,all,heterogeneous,2.0,2
399,8,block,0,equal,all,heterogeneous,2.0,3
400,8,block,0,equal,subset,unit,0.0,0
401,8,block,0,equal,subset,unit,0.0,1
402,8,block,0,equal,subset,unit,0.0,2
403,8,block,0,equal,subset,unit,0.0,3
404,8,block,0,equal,subset,unit,2.0,0
405,8,block,0,equal,subset,unit,2.0,1
406,8,block,0,equal,subset,unit,2.0,2
407,8,block,0,equal,subset,unit,2.0,3
408,8,block,0,equal,subset,heterogeneous,0.0,0
409,8,block,0,equal,subset,heterogeneous,0.0,1
410,8,block,0,equal,subset,heterogeneous,0.0,2
411,8,block,0,equal,subset,heterogeneous,0.0,3
412,8,block,0,equal,subset,heterogeneous,2.0,0
413,8,block,0,equal,subset,heterogeneous,2.0,1
414,8,block,0,equal,subset,heterogeneous,2.0,2
415,8,block,0,equal,subset,heterogeneous,2.0,3
416,8,block,0,random,all,unit,0.0,0
417,8,block,0,random,all,unit,0.0,1
418,8,block,0,random,all,unit,0.0,2
419,8,block,0,random,all,unit,0.0,3
420,8,block,0,random,all,unit,2.0,0
421,8,block,0,random,all,unit,2.0,1
422,8,block,0,random,all,unit,2.0,2
423,8,block,0,random,all,unit,2.0,3
424,8,block,0,random,all,heterogeneous,0.0,0
425,8,block,0,random,all,heterogeneous,0.0,1
426,8,block,0,random,all,heterogeneous,0.0,2
427,8,block,0,random,all,heterogeneous,0.0,3
428,8,block,0,random,all,heterogeneous,2.0,0
429,8,block,0,random,all,heterogeneous,2.0,1
430,8,block,0,random,all,heterogeneous,2.0,2
431,8,block,0,random,all,heterogeneous,2.0,3
432,8,block,0,random,subset,unit,0.0,0
433,8,block,0,random,subset,unit,0.0,1
434,8,block,0,random,subset,unit,0.0,2
435,8,block,0,random,subset,unit,0.0,3
436,8,block,0,random,subset,unit,2.0,0
437,8,block,0,random,subset,unit,2.0,1
438,8,block,0,random,subset,unit,2.0,2
439,8,block,0,random,subset,unit,2.0,3
440,8,block,0,random,subset,heterogeneous,0.0,0
441,8,block,0,random,subset,heterogeneous,0.0,1
442,8,block,0,random,subset,heterogeneous,0.0,2
443,8,block,0,random,subset,heterogeneous,0.0,3
444,8,block,0,random,subset,heterogeneous,2.0,0
445,8,block,0,random,subset,heterogeneous,2.0,1
446,8,block,0,random,subset,heterogeneous,2.0,2
447,8,block,0,random,subset,heterogeneous,2.0,3
448,8,block,8,equal,all,unit,0.0,0
449,8,block,8,equal,all,unit,0.0,1
450,8,block,8,equal,all,unit,0.0,2
451,8,block,8,equal,all,unit,0.0,3
452,8,block,8,equal,all,unit,2.0,0
453,8,block,8,equal,all,unit,2.0,1
454,8,block,8,equal,all,unit,2.0,2
455,8,block,8,equal,all,unit,2.0,3
456,8,block,8,equal,all,heterogeneous,0.0,0
457,8,block,8,equal,all,heterogeneous,0.0,1
458,8,block,8,equal,all,heterogeneous,0.0,2
459,8,block,8,equal,all,heterogeneous,0.0,3
460,8,block,8,equal,all,heterogeneous,2.0,0
461,8,block,8,equal,all,heterogeneous,2.0,1
462,8,block,8,equal,all,heterogeneous,2.0,2
463,8,block,8,equal,all,heterogeneous,2.0,3
464,8,block,8,equal,subset,unit,0.0,0
465,8,block,8,equal,subset,unit,0.0,1
466,8,block,8,equal,subset,unit,0.0,2
467,8,block,8,equal,subset,unit,0.0,3
468,8,block,8,equal,subset,unit,2.0,0
469,8,block,8,equal,subset,unit,2.0,1
470,8,block,8,equal,subset,unit,2.0,2
471,8,block,8,equal,subset,unit,2.0,3
472,8,block,8,equal,subset,heterogeneous,0.0,0
473,8,block,8,equal,subset,heterogeneous,0.0,1
